using_shared	n	m	nr_iterations	serial_time	CUDA_events	total_par_time	threads_p_block	net_speedup	total_speedup
		n	m	p		t_s		t_p_n		t_p_t		t_p_b		t_s/t_p_n	t_s/t_p_t
yes		1920	1920	1000		52.93659	3.500901	5.911239	128		15.12		8.96
no		1920	7680	1000		190.6267	29.651323	32.023087	128		6.43		6
no		1920	7680	1000		192.806370	20.324399	22.748802	256		9.5		8.5
no		1920	7680	1000		200.1525	11.211753	13.585515	512		17.85		14.7
no		1920	15360	1000		398.550783	85.278058	87.782627	512		4.67		4.54
no		3840	15360	1000		892.728870	170.321		170.512		512		5.24		5.24
yes		1024	1024	1000		20.488843	0.3726		0.525381	1024		55		39
no		15360	15360	1000		4077.027484	298.6		301.3979	1024		13.65		13.53
yes		2048	2048	1000		59.608693	1.444381	1.546759	1024		41.3		38.54
